Speltitel;Placering;Land;Datum
Hidden City: Mystery of Shadows;50;USA;2017-02-05
The Secret Society™ - Hidden Mystery;62;USA;2017-02-05
Mahjong Journey;89;USA;2017-02-05
Twin Moons Society™: Hidden Mystery;337;USA;2017-02-05
Survivors: The Quest;363;USA;2017-02-05
Supermarket Mania® Journey;405;USA;2017-02-05
The Island Castaway: Lost World®;484;USA;2017-02-05
Letters From Nowhere: A Hidden Object Mystery;870;USA;2017-02-05
The Secret Society™ - Hidden Mystery;42;UK;2017-02-05
Mahjong Journey;65;UK;2017-02-05
Hidden City: Mystery of Shadows;74;UK;2017-02-05
Survivors: The Quest;118;UK;2017-02-05
Twin Moons Society™: Hidden Mystery;225;UK;2017-02-05
Supermarket Mania® Journey;393;UK;2017-02-05
Virtual City Playground HD;482;UK;2017-02-05
The Paranormal Society: Hidden Adventure;647;UK;2017-02-05
Kate Malone: Hidden Object Detective;687;UK;2017-02-05
Letters From Nowhere: A Hidden Object Mystery;702;UK;2017-02-05
Hidden City: Mystery of Shadows;42;Tyskland;2017-02-05
Mahjong Journey;84;Tyskland;2017-02-05
The Secret Society™ - Hidden Mystery;113;Tyskland;2017-02-05
Twin Moons Society™: Hidden Mystery;268;Tyskland;2017-02-05
Survivors: The Quest;319;Tyskland;2017-02-05
Brave Tribe;375;Tyskland;2017-02-05
Supermarket Mania® Journey;720;Tyskland;2017-02-05
Nightmares from the Deep: The Cursed Heart, Collector’s Edition HD;891;Tyskland;2017-02-05
Twin Moons HD (Full);920;Tyskland;2017-02-05
Deep Town: The Twin Candles HD;922;Tyskland;2017-02-05
Lost Souls: Timeless Fables, Collector&#39s Edition HD (Full);924;Tyskland;2017-02-05
The Secret Society™ - Hidden Mystery;44;Canada;2017-02-05
Hidden City: Mystery of Shadows;57;Canada;2017-02-05
Mahjong Journey;119;Canada;2017-02-05
Survivors: The Quest;312;Canada;2017-02-05
Twin Moons Society™: Hidden Mystery;314;Canada;2017-02-05
Supermarket Mania® Journey;450;Canada;2017-02-05
Letters From Nowhere: A Hidden Object Mystery;525;Canada;2017-02-05
Homicide Squad: Hidden Crimes;540;Canada;2017-02-05
Brave Tribe;963;Canada;2017-02-05
Nightmares from the Deep: The Cursed Heart, Collector’s Edition HD;964;Canada;2017-02-05
Hidden City: Mystery of Shadows;62;Frankrike;2017-02-05
The Secret Society™ - Hidden Mystery;70;Frankrike;2017-02-05
Mahjong Journey;73;Frankrike;2017-02-05
Survivors: The Quest;224;Frankrike;2017-02-05
Supermarket Mania® Journey;227;Frankrike;2017-02-05
Twin Moons Society™: Hidden Mystery;278;Frankrike;2017-02-05
Stand O’ Food® Empire;498;Frankrike;2017-02-05
The Paranormal Society: Hidden Adventure;615;Frankrike;2017-02-05
Special Enquiry Detail: Engaged to Kill™ HD;737;Frankrike;2017-02-05
Virtual City Playground HD;749;Frankrike;2017-02-05
The Mystery of the Crystal Portal HD (Free);869;Frankrike;2017-02-05
The Magician&#39s Handbook: Cursed Valley HD;893;Frankrike;2017-02-05
The Mystery of the Crystal Portal 2 - Beyond the Horizon HD;920;Frankrike;2017-02-05
The Island Castaway: Lost World®;932;Frankrike;2017-02-05
Hidden City: Mystery of Shadows;131;Japan;2017-02-05
The Secret Society™ - Hidden Mystery;193;Japan;2017-02-05
Survivors: The Quest;282;Japan;2017-02-05
Twin Moons Society™: Hidden Mystery;371;Japan;2017-02-05
Mahjong Journey;379;Japan;2017-02-05
The Paranormal Society: Hidden Adventure;420;Japan;2017-02-05
Supermarket Mania® Journey;660;Japan;2017-02-05
Brave Tribe;932;Japan;2017-02-05
Hidden City: Mystery of Shadows;48;Australien;2017-02-05
Mahjong Journey;69;Australien;2017-02-05
The Secret Society™ - Hidden Mystery;104;Australien;2017-02-05
Survivors: The Quest;221;Australien;2017-02-05
Supermarket Mania® Journey;314;Australien;2017-02-05
Twin Moons Society™: Hidden Mystery;359;Australien;2017-02-05
Letters From Nowhere: A Hidden Object Mystery;434;Australien;2017-02-05
Nightmares from the Deep®: A Hidden Object Adventure;691;Australien;2017-02-05
Letters from Nowhere 2 HD;864;Australien;2017-02-05
Letters from Nowhere 2 HD (Full);874;Australien;2017-02-05
Hidden City: Mystery of Shadows;55;Italien;2017-02-05
Supermarket Mania® Journey;118;Italien;2017-02-05
The Secret Society™ - Hidden Mystery;158;Italien;2017-02-05
Mahjong Journey;170;Italien;2017-02-05
Survivors: The Quest;182;Italien;2017-02-05
Twin Moons Society™: Hidden Mystery;229;Italien;2017-02-05
The Island: Castaway 2™ HD (Full);425;Italien;2017-02-05
Brave Tribe;674;Italien;2017-02-05
Letters from Nowhere 2 HD;694;Italien;2017-02-05
Twin Moons HD;695;Italien;2017-02-05
Lost Souls: Enchanted Paintings HD (Full);705;Italien;2017-02-05
Hidden City: Mystery of Shadows;92;Holland;2017-02-05
The Secret Society™ - Hidden Mystery;207;Holland;2017-02-05
Mahjong Journey;309;Holland;2017-02-05
Tales from the Dragon Mountain: the Lair HD;464;Holland;2017-02-05
Virtual City HD;481;Holland;2017-02-05
Supermarket Mania® 2 HD;571;Holland;2017-02-05
Letters From Nowhere: A Hidden Object Mystery;681;Holland;2017-02-05
Twin Moons Society™: Hidden Mystery;692;Holland;2017-02-05
Supermarket Mania® Journey;756;Holland;2017-02-05
Virtual City Playground HD;758;Holland;2017-02-05
Survivors: The Quest;830;Holland;2017-02-05
