Hidden City®;103;USA;2017-10-30
Mahjong Journey®;490;USA;2017-10-30
Homicide Squad: Hidden Crimes;684;USA;2017-10-30
Supermarket Mania® Journey;870;USA;2017-10-30
Twin Moons®;456;UK;2017-10-30
Supermarket Mania® Journey;502;UK;2017-10-30
Hidden City®;555;UK;2017-10-30
Mahjong Journey®;998;UK;2017-10-30
Hidden City®;200;Tyskland;2017-10-30
Supermarket Mania® Journey;655;Tyskland;2017-10-30
The Secret Society®;769;Tyskland;2017-10-30
Hidden City®;308;Canada;2017-10-30
Mahjong Journey®;636;Canada;2017-10-30
Supermarket Mania® Journey;720;Canada;2017-10-30
Survivors: the Quest®;763;Canada;2017-10-30
Hidden City®;387;Frankrike;2017-10-30
Supermarket Mania® Journey;513;Frankrike;2017-10-30
Mahjong Journey®;949;Frankrike;2017-10-30
Hidden City®;28;Japan;2017-10-30
Mahjong Journey®;277;Japan;2017-10-30
The Secret Society®;367;Japan;2017-10-30
Twin Moons®;389;Japan;2017-10-30
Homicide Squad: Hidden Crimes;439;Japan;2017-10-30
Pirates &amp Pearls™;933;Japan;2017-10-30
The Secret Society®;336;Australien;2017-10-30
Hidden City®;353;Australien;2017-10-30
Mahjong Journey®;491;Australien;2017-10-30
Survivors: the Quest®;564;Australien;2017-10-30
Supermarket Mania® Journey;925;Australien;2017-10-30
Hidden City®;291;Italien;2017-10-30
Mahjong Journey®;693;Italien;2017-10-30
Supermarket Mania® Journey;905;Italien;2017-10-30
The Secret Society®;403;Holland;2017-10-30
Hidden City®;325;Spanien;2017-10-30
Mahjong Journey®;762;Spanien;2017-10-30
The Secret Society®;916;Spanien;2017-10-30
Supermarket Mania® Journey;967;Spanien;2017-10-30
Hidden City®;119;Kina;2017-10-30
Inbetween Land (Full);588;Kina;2017-10-30
Mahjong Journey®;649;Kina;2017-10-30
Hidden City®;55;Korea;2017-10-30
Inbetween Land (Full);296;Korea;2017-10-30
Mahjong Journey®;588;Korea;2017-10-30
The Secret Society®;627;Korea;2017-10-30
Twin Moons®;802;Korea;2017-10-30
Hidden City®;164;Ryssland;2017-10-30
The Secret Society®;576;Ryssland;2017-10-30
Supermarket Mania® Journey;922;Ryssland;2017-10-30
Hidden City®;508;Brasilien;2017-10-30
Mahjong Journey®;736;Brasilien;2017-10-30
Hidden City®;87;USA;2017-10-31
Mahjong Journey®;474;USA;2017-10-31
Homicide Squad: Hidden Crimes;705;USA;2017-10-31
Supermarket Mania® Journey;950;USA;2017-10-31
Twin Moons®;461;UK;2017-10-31
Hidden City®;470;UK;2017-10-31
Supermarket Mania® Journey;539;UK;2017-10-31
Pirates &amp Pearls™;708;UK;2017-10-31
Hidden City®;207;Tyskland;2017-10-31
Supermarket Mania® Journey;745;Tyskland;2017-10-31
The Secret Society®;777;Tyskland;2017-10-31
Hidden City®;315;Canada;2017-10-31
Mahjong Journey®;369;Canada;2017-10-31
Supermarket Mania® Journey;602;Canada;2017-10-31
Survivors: the Quest®;739;Canada;2017-10-31
Hidden City®;374;Frankrike;2017-10-31
Supermarket Mania® Journey;500;Frankrike;2017-10-31
Hidden City®;24;Japan;2017-10-31
Mahjong Journey®;260;Japan;2017-10-31
The Secret Society®;343;Japan;2017-10-31
Twin Moons®;393;Japan;2017-10-31
Homicide Squad: Hidden Crimes;441;Japan;2017-10-31
Pirates &amp Pearls™;924;Japan;2017-10-31
The Secret Society®;355;Australien;2017-10-31
Hidden City®;359;Australien;2017-10-31
Mahjong Journey®;570;Australien;2017-10-31
Survivors: the Quest®;620;Australien;2017-10-31
Supermarket Mania® Journey;955;Australien;2017-10-31
Pirates &amp Pearls™;965;Australien;2017-10-31
Hidden City®;259;Italien;2017-10-31
Inbetween Land (Full);563;Italien;2017-10-31
Mahjong Journey®;673;Italien;2017-10-31
Supermarket Mania® Journey;921;Italien;2017-10-31
The Secret Society®;334;Holland;2017-10-31
Hidden City®;301;Spanien;2017-10-31
Mahjong Journey®;568;Spanien;2017-10-31
The Secret Society®;862;Spanien;2017-10-31
Hidden City®;97;Kina;2017-10-31
Inbetween Land (Full);489;Kina;2017-10-31
Mahjong Journey®;597;Kina;2017-10-31
Hidden City®;63;Korea;2017-10-31
Inbetween Land (Full);173;Korea;2017-10-31
The Secret Society®;623;Korea;2017-10-31
Mahjong Journey®;639;Korea;2017-10-31
Twin Moons®;726;Korea;2017-10-31
Homicide Squad: Hidden Crimes;902;Korea;2017-10-31
Hidden City®;149;Ryssland;2017-10-31
The Secret Society®;434;Ryssland;2017-10-31
Supermarket Mania® Journey;896;Ryssland;2017-10-31
Mahjong Journey®;593;Brasilien;2017-10-31
Hidden City®;76;USA;2017-11-01
Mahjong Journey®;429;USA;2017-11-01
Homicide Squad: Hidden Crimes;668;USA;2017-11-01
Inbetween Land (Full);862;USA;2017-11-01
Twin Moons®;923;USA;2017-11-01
Supermarket Mania® Journey;966;USA;2017-11-01
Twin Moons®;438;UK;2017-11-01
Hidden City®;456;UK;2017-11-01
Supermarket Mania® Journey;488;UK;2017-11-01
